pmm,smm,vmm,exclude,deceased,first_name,nick_name,last_name,organization_name,total_donations,total_pledge,largest_gift,largest_gift_appeal,first_gift_date,last_gift_date,last_gift_amount,last_gift_request,last_gift_appeal,address_line1,address_line2,city,contact_phone_type,phone_restrictions,email_restrictions,communication_restrictions,subscription_events_in_person,subscription_events_magazine,communication_preference,__ml_lable,__ml_total_invitations,__ml_total_attendance,__ml_last_invitation_attendance,__ml_invitation_acceptance_rate,__ml_total_donations,__ml_largest_gift,__ml_last_gift_amount
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Chao,,Ahmed,,0,254642,0,Appeal1,0,0,0,1717899183,Appeal2,222 Sycamore Lane,Apt 505,West Vancouver,Home,No Surveys,No Mass Communications,Do Not Email,Opt-out,Opt-out,Newsletter,1,9,7,1,0.7777777777777778,32419,21191,18022
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Dimitri,,Kim,,350401,178202,113931,Appeal2,1604167248,1607745369,9590,1730346253,Appeal1,789 Pine Lane,,Port Coquitlam,Home,No Mass Communications,,No Mass Appeals,Opt-in,Opt-out,Thank you,0,2,1,1,0.5,80552,39590,4338
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Bob,Angel,López,,149599,682260,105036,Appeal1,1711632964,1662320644,5473,1713685368,Appeal3,505 Willow Way,Apt 707,Kamloops,Home,No Surveys,,No Mass Communications,Opt-in,Opt-in,Magazine,0,12,12,1,1.0,6577,689,98
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Jane,,Иванов,,113639,578346,1056,Appeal3,1599944868,1480715298,19699,1726696792,Appeal2,676 Elmwood Court,Unit 111,Surrey,Mobile,Do Not Call,,Do Not Email,Opt-out,Opt-out,Survey,1,15,15,1,1.0,37707,7457,1741
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Peter,,Kumar,Giggle Goods,770657,0,320368,Appeal3,1679526076,494158754,308906,1739918205,Appeal3,1919 Laurelwood Road,Unit 555,West Vancouver,Work,,No Surveys,Do Not Email,Opt-out,Opt-in,Holiday Card,0,3,1,1,0.3333333333333333,49572,16610,12632
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Chao,Sweetheart,Silva,Acme Anvils Inc.,0,847340,0,Appeal1,0,0,0,1720331362,Appeal3,1111 Cypresswood Terrace,,West Vancouver,Home,No Surveys,Do Not Email,No Mass Appeals,Opt-in,Opt-out,,0,1,0,0,0.0,42925,11275,1510
Peter Smith,John Doe,Chao Nguyen,no,no,Yuki,Sweetheart,Kumar,,127774,0,44863,Appeal3,1650567200,600434013,1753,1723680527,Appeal1,1717 Hickorywood Court,Apt 505,Parksville,Mobile,No Surveys,Do Not Email,No Surveys,Opt-out,Opt-in,Magazine,1,7,4,1,0.5714285714285714,39799,3701,1925
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Olga,,Kim,,265847,248127,115949,Appeal1,1641342589,1481079864,226514,1715557547,Appeal1,555 Hickory Drive,Unit 404,Coquitlam,Mobile,No Mass Appeals,Do Not Email,No Surveys,Opt-out,Opt-in,,1,11,11,1,1.0,71861,69561,22264
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Ingrid,,Cohen,,0,195743,0,Appeal2,0,0,0,1725419163,Appeal3,222 Sycamore Lane,Apt 444,New Westminster,Work,No Mass Appeals,No Mass Communications,No Mass Communications,Opt-in,Opt-in,Thank you,1,6,4,1,0.6666666666666666,95224,52220,14451
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sergei,,Nakamura,,0,608772,0,Appeal1,0,0,0,1732453471,Appeal3,1919 Laurelwood Road,Unit 777,Coquitlam,Mobile,,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,Appeal,1,14,14,1,1.0,70999,52994,27979
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Sergei,,Williams,,0,0,0,Appeal1,0,0,0,1733588565,Appeal2,1313 Poplarwood Street,,Kamloops,Work,,,No Mass Communications,Opt-in,Opt-out,Inspiration event,1,0,0,0,0.0,21009,5560,3476
Peter Smith,John Doe,Sven Müller,no,no,Amina,,김,,132317,859952,88403,Appeal1,1604187533,692574001,17407,1732690285,Appeal1,454 Birchwood Lane,,Parksville,Home,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,Survey,1,4,2,1,0.5,49253,6805,3941
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Olga,,佐藤,,0,82119,0,Appeal3,0,0,0,1734593166,Appeal2,676 Elmwood Court,Unit 808,Burnaby,Home,Do Not Call,No Surveys,,Opt-out,Opt-out,Thank you,1,9,8,1,0.8888888888888888,31619,25838,16114
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Juan,,González,,923089,424198,124524,Appeal2,1589736977,1543845576,297221,1726847709,Appeal1,303 Elm Drive,Unit 111,Surrey,Work,No Surveys,No Surveys,Do Not Email,Opt-out,Opt-in,Survey,1,16,16,1,1.0,26879,23256,20824
Parvati Patel,Bob Brown,Priya Gupta,no,no,Hiroshi,,González,Goofy Gadgets,642259,844120,556283,Appeal3,1643503158,1107283668,328700,1714685593,Appeal3,505 Willow Way,,West Vancouver,Home,No Mass Communications,No Surveys,No Mass Communications,Opt-in,Opt-out,Event,1,2,1,1,0.5,10979,9736,7307
Parvati Patel,Bob Brown,Priya Gupta,no,no,Bob,,Lee,,875083,786639,258486,Appeal2,1712856088,921357636,19190,1739284828,Appeal1,303 Elm Drive,Unit 333,Surrey,Home,No Mass Appeals,No Mass Appeals,,Opt-out,Opt-in,Appeal,1,15,15,0,1.0,78783,11883,8417
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Yuki,,Ahmed,,0,482265,0,Appeal1,0,0,0,1723685174,Appeal3,898 Willowwood Road,Apt 222,Coquitlam,Home,No Mass Communications,No Mass Appeals,,Opt-out,Opt-out,Inspiration event,1,9,7,1,0.7777777777777778,45455,30816,4220
Parvati Patel,Bob Brown,Priya Gupta,no,no,Chao,Peach,Cohen,,841891,287503,20704,Appeal1,1599517786,1530580848,7032,1722850408,Appeal1,1414 Sycamorewood Avenue,Apt 909,West Vancouver,Home,No Surveys,No Mass Communications,No Mass Communications,Opt-out,Opt-out,Appeal,0,5,2,1,0.4,46756,8983,6118
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Hiroshi,,Иванов,,0,431672,0,Appeal3,0,0,0,1718984478,Appeal2,555 Hickory Drive,,Salmon Arm,Home,No Mass Communications,No Surveys,No Surveys,Opt-in,Opt-out,,1,12,11,1,0.9166666666666666,65851,35676,24812
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Peter,,佐藤,Whimsy Works,0,956391,0,Appeal1,0,0,0,1738382885,Appeal1,555 Hickory Drive,,Surrey,Mobile,Do Not Call,No Surveys,No Mass Appeals,Opt-out,Opt-out,Thank you,1,16,16,1,1.0,25867,15694,4921
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Alice,,Ahmed,,0,223662,0,Appeal2,0,0,0,1726102619,Appeal2,808 Cypress Place,Apt 444,Vancouver,Home,,No Mass Communications,No Surveys,Opt-out,Opt-out,Newsletter,1,9,7,0,0.7777777777777778,77427,65368,55042
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Juan,Love,Smith,,67804,357676,51347,Appeal1,1666824414,1308635565,17101,1728389337,Appeal2,303 Elm Drive,Apt 909,West Vancouver,Work,No Surveys,No Surveys,,Opt-in,Opt-in,Thank you,1,9,6,1,0.6666666666666666,69277,48200,19332
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Bob,,Silva,,0,211918,0,Appeal3,0,0,0,1724986494,Appeal3,787 Sprucewood Drive,Unit 333,West Vancouver,Home,Do Not Call,No Mass Communications,No Mass Appeals,Opt-in,Opt-in,Survey,1,1,0,0,0.0,76422,10395,6968
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Amina,Darling,López,,0,0,0,Appeal3,0,0,0,1716583404,Appeal1,121 Maplewood Place,,Victoria,Home,,No Surveys,,Opt-in,Opt-in,Inspiration event,1,11,10,1,0.9090909090909091,16057,6958,898
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Yuki,Sugar,Brown,,0,266387,0,Appeal1,0,0,0,1711987652,Appeal1,1515 Magnoliawood Lane,Apt 222,Courtenay,Work,No Mass Appeals,No Mass Appeals,,Opt-in,Opt-out,Appeal,1,12,12,0,1.0,25254,20719,12583
Gurtrude Schmidt,John Doe,Chao Nguyen,no,no,Fatima,Peach,Hernández,,946653,916153,678693,Appeal3,1601636484,1399427556,55192,1724807156,Appeal2,999 Alder Terrace,Apt 121,Parksville,Work,No Surveys,No Mass Appeals,No Surveys,Opt-in,Opt-out,Holiday Card,1,4,3,1,0.75,91004,1919,1481
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,Chao,,Иванов,,246896,281507,67394,Appeal1,1677778419,760888066,55949,1718579191,Appeal3,1919 Laurelwood Road,Apt 909,Richmond,Work,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,,0,5,2,1,0.4,39355,32315,5049
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Priya,,Öztürk,,661036,609421,288311,Appeal2,1637377131,1179975561,284383,1709478302,Appeal1,777 Laurel Way,Unit 999,Abbotsford,Home,,No Mass Appeals,,Opt-in,Opt-out,Inspiration event,0,16,16,0,1.0,41960,21092,7843
Hiroshi Nakamura,Bob Brown,Priya Gupta,no,no,Carlos,,Müller,,561753,248293,200957,Appeal3,1675990566,32646518,111763,1728890503,Appeal1,789 Pine Lane,,Maple Ridge,Work,,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,,1,6,3,1,0.5,93443,49042,4139
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Amina,Sunshine,Kim,,0,624633,0,Appeal1,0,0,0,1722711571,Appeal2,909 Aspenwood Way,Apt 565,Kamloops,Mobile,No Mass Appeals,,No Mass Appeals,Opt-out,Opt-in,Thank you,1,13,12,0,0.9230769230769231,76470,37201,9515
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Juan,,Jones,,557528,830753,382591,Appeal1,1725590347,159342418,293739,1734838800,Appeal2,1414 Sycamorewood Avenue,,Salmon Arm,Work,No Mass Appeals,No Mass Appeals,,Opt-out,Opt-in,Inspiration event,1,12,12,0,1.0,25977,14052,7556
Hiroshi Nakamura,Alice Smith,Olga Smirnov,yes,no,Zainab,,Chen,,622414,697300,377816,Appeal3,1609346410,432444689,21271,1719622757,Appeal2,898 Willowwood Road,Apt 121,Richmond,Mobile,No Mass Communications,No Mass Appeals,,Opt-in,Opt-out,Inspiration event,1,13,12,1,0.9230769230769231,64100,19996,14458
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Lee,,526673,0,253571,Appeal3,1585444696,328834050,197319,1727535571,Appeal3,777 Laurel Way,,Maple Ridge,Mobile,No Mass Communications,Do Not Email,No Mass Communications,Opt-out,Opt-out,Thank you,1,14,14,1,1.0,77456,25128,19361
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Mei,,Chen,,0,142771,0,Appeal3,0,0,0,1711987732,Appeal1,1313 Poplarwood Street,Unit 555,Delta,Work,No Mass Communications,No Surveys,Do Not Email,Opt-in,Opt-out,,1,3,2,0,0.6666666666666666,90042,78240,52219
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Ingrid,Babe,García,,404287,0,84156,Appeal1,1630965301,1470240904,86572,1721991335,Appeal3,1717 Hickorywood Court,Unit 606,Port Coquitlam,Work,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-in,Opt-in,Newsletter,1,10,7,1,0.7,6172,4900,1120
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Leila,,Brown,,877890,870752,873291,Appeal1,1614802400,1293041738,788561,1715816357,Appeal3,1111 Cypresswood Terrace,,Richmond,Mobile,No Surveys,No Mass Appeals,No Surveys,Opt-out,Opt-in,Survey,1,14,14,1,1.0,91260,23289,20918
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Alice,,Williams,,120469,738713,92690,Appeal1,1736712157,525618458,10506,1721477334,Appeal2,1414 Sycamorewood Avenue,Unit 808,Richmond,Mobile,No Mass Communications,No Mass Communications,,Opt-in,Opt-out,Appeal,1,9,9,1,1.0,89674,57593,51433
Peter Smith,John Doe,Sven Müller,no,no,Hiroshi,,Lee,,116212,0,102966,Appeal2,1625700553,671763058,53165,1727809834,Appeal2,222 Sycamore Lane,,Saanich,Work,No Mass Communications,No Surveys,,Opt-out,Opt-in,,1,3,2,1,0.6666666666666666,63817,10079,5914
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,John,Buttercup,佐藤,Jester Jamboree,0,0,0,Appeal3,0,0,0,1737409382,Appeal1,222 Sycamore Lane,,Richmond,Mobile,Do Not Call,Do Not Email,No Mass Appeals,Opt-out,Opt-out,Inspiration event,0,1,1,0,1.0,39451,18250,16757
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Ingrid,Love,Lee,Mirthful Manufacturing,170478,402417,84496,Appeal3,1712695628,649114286,38543,1737821862,Appeal3,456 Oak Avenue,Unit 404,Saanich,Mobile,,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Event,1,16,16,1,1.0,53853,29764,21902
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Zainab,,López,,0,951162,0,Appeal2,0,0,0,1738444113,Appeal3,909 Aspenwood Way,,Williams Lake,Mobile,,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Inspiration event,0,3,1,0,0.3333333333333333,19499,7324,4448
Peter Smith,Jane Doe,Chao Nguyen,no,no,Hassan,,Jones,,356059,968487,65833,Appeal1,1641566743,1226180461,44279,1728126233,Appeal1,808 Cypress Place,Apt 121,Courtenay,Home,No Mass Appeals,Do Not Email,No Surveys,Opt-in,Opt-in,Event,0,3,2,1,0.6666666666666666,35538,32973,30064
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Olga,,Smith,,0,0,0,Appeal1,0,0,0,1733704719,Appeal2,1212 Firwood Place,Unit 898,Vancouver,Home,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-out,Opt-in,Appeal,0,9,5,0,0.5555555555555556,94422,35083,24083
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Sven,Darling,佐藤,,0,912420,0,Appeal2,0,0,0,1729551756,Appeal2,707 Redwood Terrace,,Burnaby,Work,,Do Not Email,Do Not Email,Opt-out,Opt-in,Event,1,5,1,1,0.2,32128,21435,6403
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Leila,Cutie,Öztürk,,0,0,0,Appeal3,0,0,0,1722328977,Appeal1,222 Sycamore Lane,Unit 898,Courtenay,Home,Do Not Call,No Mass Appeals,,Opt-out,Opt-out,Magazine,1,10,9,0,0.9,50686,13846,3904
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Leila,,佐藤,Goofy Gadgets,642121,961889,609966,Appeal2,1738044378,949694054,33481,1719797631,Appeal3,444 Dogwood Court,,Williams Lake,Home,,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Holiday Card,1,9,9,1,1.0,51910,7788,4329
Gurtrude Schmidt,Jane Doe,Sven Müller,no,no,Maria,Sugar,王,,138925,591471,94908,Appeal1,1686692699,1033647756,55507,1738383179,Appeal3,777 Laurel Way,,Courtenay,Work,No Mass Appeals,Do Not Email,Do Not Email,Opt-in,Opt-in,Magazine,0,11,10,0,0.9090909090909091,1605,1084,374
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Jane,,Müller,,0,882591,0,Appeal1,0,0,0,1722942831,Appeal2,1919 Laurelwood Road,Unit 202,Burnaby,Work,No Mass Appeals,No Mass Appeals,No Surveys,Opt-in,Opt-out,Research update,1,12,11,1,0.9166666666666666,76717,46338,36936
Parvati Patel,Alice Smith,Olga Smirnov,no,no,Priya,Buttercup,Kumar,,0,924308,0,Appeal3,0,0,0,1733008626,Appeal1,666 Juniper Road,Unit 232,Coquitlam,Mobile,No Mass Appeals,Do Not Email,No Mass Appeals,Opt-in,Opt-out,Magazine,0,16,16,1,1.0,62508,14300,1868
Peter Smith,John Doe,Sven Müller,no,no,Chao,,Jones,,0,380889,0,Appeal3,0,0,0,1733095042,Appeal2,909 Aspenwood Way,Unit 202,Victoria,Mobile,No Mass Communications,No Mass Appeals,Do Not Email,Opt-out,Opt-out,,1,10,8,1,0.8,59489,34096,29622
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Juan,,García,,0,0,0,Appeal3,0,0,0,1711819076,Appeal3,202 Cedar Court,Apt 303,Parksville,Work,No Mass Appeals,Do Not Email,No Mass Communications,Opt-in,Opt-in,Event,0,5,0,0,0.0,90936,31713,18880
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Carlos,Precious,王,,66660,725743,5762,Appeal1,1636991582,780052768,25136,1715355113,Appeal1,123 Maple Street,Unit 404,Salmon Arm,Work,No Mass Appeals,No Mass Communications,Do Not Email,Opt-out,Opt-out,Holiday Card,1,13,12,1,0.9230769230769231,79445,6635,2913
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Carlos,,Müller,,185988,273167,7436,Appeal3,1608073809,1099736968,84589,1729348817,Appeal3,111 Poplar Avenue,Unit 333,Richmond,Work,No Mass Communications,Do Not Email,Do Not Email,Opt-in,Opt-in,Event,1,2,1,1,0.5,25750,20228,16008
Hiroshi Nakamura,Alice Smith,Priya Gupta,no,no,Jane,,Nakamura,,921812,119740,799645,Appeal3,1610055125,552761951,579262,1734218244,Appeal1,101 Birch Boulevard,,Maple Ridge,Work,Do Not Call,No Mass Appeals,,Opt-in,Opt-out,Event,1,1,0,0,0.0,84886,84541,76623
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Amina,,Иванов,,334886,5220,274566,Appeal3,1685868194,1238521674,57111,1719208177,Appeal3,1313 Poplarwood Street,Apt 505,Saanich,Work,Do Not Call,,No Surveys,Opt-in,Opt-out,Event,1,15,15,1,1.0,77358,30528,26196
Parvati Patel,Bob Brown,Priya Gupta,yes,no,Mei,Peach,王,,0,194322,0,Appeal2,0,0,0,1734146794,Appeal3,565 Cedarwood Boulevard,Unit 454,Abbotsford,Mobile,,No Mass Appeals,,Opt-in,Opt-out,Appeal,1,4,3,1,0.75,57666,35550,23344
Gurtrude Schmidt,John Doe,Chao Nguyen,yes,no,Olga,Doll,Smirnov,,0,0,0,Appeal1,0,0,0,1714808890,Appeal3,909 Aspenwood Way,,Victoria,Mobile,No Surveys,No Mass Communications,No Mass Appeals,Opt-out,Opt-out,Survey,1,12,10,1,0.8333333333333334,47514,41057,27984
Maria González,Carlos Hernández,Hassan Ahmed,yes,no,Juan,Champ,Müller,,596755,0,358203,Appeal2,1594304143,885679011,348650,1739231031,Appeal3,898 Willowwood Road,Unit 404,Kamloops,Home,,No Surveys,Do Not Email,Opt-out,Opt-in,Thank you,1,0,0,0,0.0,94154,56843,41410
Maria González,Carlos Hernández,Hassan Ahmed,no,no,Peter,,Smirnov,,685025,805465,456577,Appeal2,1629308952,1490659109,196607,1709295391,Appeal2,808 Cypress Place,Apt 909,Salmon Arm,Home,No Mass Communications,No Mass Appeals,No Mass Communications,Opt-out,Opt-out,Survey,1,2,1,0,0.5,71082,15736,14870
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Chao,,Nguyen,,0,680351,0,Appeal2,0,0,0,1727832258,Appeal3,555 Hickory Drive,Apt 343,Nanaimo,Mobile,,Do Not Email,No Mass Appeals,Opt-in,Opt-in,Newsletter,1,4,2,1,0.5,96593,25026,5589
Hiroshi Nakamura,Bob Brown,Olga Smirnov,no,no,Dimitri,,Chen,,814634,302666,341524,Appeal2,1730700954,404193209,326341,1727773970,Appeal3,456 Oak Avenue,,Richmond,Home,Do Not Call,No Mass Appeals,No Mass Communications,Opt-in,Opt-in,Appeal,0,7,5,1,0.7142857142857143,69395,4565,4151
Hiroshi Nakamura,Bob Brown,Olga Smirnov,yes,no,Sven,Sunshine,Nakamura,Jokester Junction,830855,0,527227,Appeal2,1712863197,17169803,47773,1734673056,Appeal2,456 Oak Avenue,Apt 303,North Vancouver,Home,,No Mass Communications,No Mass Appeals,Opt-in,Opt-out,,0,9,6,1,0.6666666666666666,57067,1026,880
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Smirnov,,942318,927894,691831,Appeal1,1681036308,1233872845,229829,1722113936,Appeal3,909 Fir Street,,Burnaby,Work,,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,Magazine,1,6,2,1,0.3333333333333333,36048,24278,14291
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Chao,Angel,Chen,,0,141647,0,Appeal1,0,0,0,1710209581,Appeal2,565 Cedarwood Boulevard,,New Westminster,Work,Do Not Call,No Mass Appeals,No Surveys,Opt-in,Opt-out,Newsletter,0,5,4,1,0.8,79311,14061,10450
Peter Smith,John Doe,Chao Nguyen,no,no,Chao,,佐藤,,0,172467,0,Appeal1,0,0,0,1734401090,Appeal2,121 Maplewood Place,,Campbell River,Home,,No Mass Appeals,Do Not Email,Opt-out,Opt-in,Survey,1,9,6,1,0.6666666666666666,91920,75349,35481
Parvati Patel,Bob Brown,Olga Smirnov,yes,no,John,,Smirnov,,0,231564,0,Appeal1,0,0,0,1739113289,Appeal1,101 Birch Boulevard,Apt 101,Surrey,Work,No Mass Appeals,Do Not Email,Do Not Email,Opt-in,Opt-in,Holiday Card,1,5,4,1,0.8,75702,67905,29039
Hiroshi Nakamura,Bob Brown,Priya Gupta,yes,no,Rajesh,Peach,López,,588545,188846,10160,Appeal2,1678962909,1130188495,8504,1729104084,Appeal3,787 Sprucewood Drive,,Langley,Work,Do Not Call,No Surveys,No Mass Appeals,Opt-in,Opt-in,Survey,1,12,12,0,1.0,12667,7487,1172
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Priya,Precious,Silva,,735156,0,128596,Appeal3,1714732933,1064365611,28104,1719466171,Appeal3,456 Oak Avenue,,Port Coquitlam,Work,No Surveys,No Mass Appeals,No Mass Appeals,Opt-out,Opt-out,Research update,1,15,15,0,1.0,76720,75900,15110
Hiroshi Nakamura,Alice Smith,Olga Smirnov,no,no,Chao,Snookums,佐藤,,740972,0,220869,Appeal1,1698817569,1458196938,16033,1717151311,Appeal2,1212 Firwood Place,,Coquitlam,Mobile,No Mass Communications,,No Mass Communications,Opt-in,Opt-in,Thank you,1,7,4,1,0.5714285714285714,32651,17348,7101
Parvati Patel,Bob Brown,Priya Gupta,no,no,Hassan,Sugar,Nguyen,,988919,627468,393991,Appeal1,1706352004,1342075635,104596,1719081915,Appeal3,1717 Hickorywood Court,Apt 222,Surrey,Home,Do Not Call,No Mass Appeals,No Mass Appeals,Opt-in,Opt-in,Newsletter,1,11,10,1,0.9090909090909091,93518,44728,33186
Peter Smith,Jane Doe,Sven Müller,yes,no,Hiroshi,Buddy,Nguyen,Nonsense Enterprises,0,819869,0,Appeal2,0,0,0,1731655854,Appeal3,789 Pine Lane,,Parksville,Home,,No Mass Appeals,No Mass Appeals,Opt-out,Opt-in,Magazine,1,5,0,0,0.0,55935,30774,3589
Parvati Patel,Alice Smith,Priya Gupta,yes,no,Yuki,Pumpkin,Nakamura,,896033,384822,53597,Appeal2,1683931080,388753402,463319,1713836315,Appeal1,232 Oakwood Street,,Abbotsford,Work,,Do Not Email,,Opt-in,Opt-out,Inspiration event,1,6,5,0,0.8333333333333334,70835,26010,17891
Parvati Patel,Bob Brown,Priya Gupta,no,no,Amina,,Иванов,,0,951967,0,Appeal3,0,0,0,1726700619,Appeal3,202 Cedar Court,,Langley,Mobile,,,No Mass Appeals,Opt-in,Opt-in,,1,14,14,1,1.0,86601,25814,5079
Peter Smith,John Doe,Sven Müller,yes,no,Sergei,,Kim,,239841,535907,72116,Appeal3,1607578911,522127537,109947,1720596728,Appeal3,111 Poplar Avenue,,Campbell River,Work,,No Surveys,No Mass Appeals,Opt-out,Opt-out,Survey,1,15,15,0,1.0,13737,9466,6500
Gurtrude Schmidt,Jane Doe,Chao Nguyen,no,no,Priya,,González,,437217,534261,129344,Appeal3,1703858410,1504166264,29679,1711013161,Appeal1,232 Oakwood Street,,Courtenay,Work,,No Mass Appeals,No Mass Appeals,Opt-in,Opt-out,Appeal,0,6,4,0,0.6666666666666666,274,214,102
Gurtrude Schmidt,Jane Doe,Chao Nguyen,yes,no,Hiroshi,,Jones,,584588,148683,392846,Appeal1,1600823873,1042039325,211636,1724447451,Appeal1,1212 Firwood Place,Apt 121,Victoria,Home,No Mass Communications,No Surveys,,Opt-out,Opt-in,Appeal,0,13,12,0,0.9230769230769231,32665,15109,8872
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Ingrid,,Gupta,Whimsy Works,662051,407611,582229,Appeal2,1629040643,1505568313,59513,1714430056,Appeal2,565 Cedarwood Boulevard,,Saanich,Mobile,Do Not Call,No Surveys,No Mass Appeals,Opt-out,Opt-in,Appeal,1,0,0,0,0.0,13434,6334,3095
Parvati Patel,Alice Smith,Olga Smirnov,yes,no,Hiroshi,Doll,López,Gag Gifts Galore,507595,312633,302417,Appeal1,1637007060,1554564591,15602,1713705754,Appeal1,606 Aspen Circle,,Maple Ridge,Work,No Surveys,No Surveys,No Mass Communications,Opt-out,Opt-out,Survey,1,13,13,1,1.0,10961,6412,4734
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Chao,,Nakamura,,66346,346671,18942,Appeal1,1637811315,592379946,25267,1738562841,Appeal3,1111 Cypresswood Terrace,,Campbell River,Mobile,No Mass Communications,,No Mass Appeals,Opt-in,Opt-in,,1,5,4,1,0.8,14073,3927,608
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Peter,,Иванов,,0,608646,0,Appeal1,0,0,0,1710527798,Appeal2,202 Cedar Court,Unit 606,Campbell River,Home,,,No Mass Communications,Opt-out,Opt-in,Event,0,2,1,1,0.5,57271,33113,7652
Hiroshi Nakamura,Alice Smith,Priya Gupta,yes,no,Rajesh,Precious,Ahmed,,742672,779099,62777,Appeal1,1671332877,1255299071,336212,1717178473,Appeal2,222 Sycamore Lane,,Maple Ridge,Mobile,No Mass Communications,Do Not Email,No Surveys,Opt-out,Opt-out,Holiday Card,0,2,1,1,0.5,59981,1867,1094
Peter Smith,Jane Doe,Chao Nguyen,yes,no,Dimitri,,김,,0,59390,0,Appeal2,0,0,0,1736782017,Appeal1,222 Sycamore Lane,Apt 909,Victoria,Home,Do Not Call,No Surveys,Do Not Email,Opt-in,Opt-in,Newsletter,1,10,9,0,0.9,82203,37656,30178
Gurtrude Schmidt,John Doe,Sven Müller,no,no,Carlos,,Hernández,,193201,1510,89286,Appeal3,1677549012,8089763,3597,1715104809,Appeal2,808 Cypress Place,Unit 555,Victoria,Home,No Surveys,,No Surveys,Opt-out,Opt-out,,1,7,4,0,0.5714285714285714,98088,10557,1032
Peter Smith,Jane Doe,Sven Müller,yes,no,Bob,,Müller,,62550,162219,1026,Appeal3,1664745195,1645485609,12265,1739010153,Appeal2,666 Juniper Road,,Campbell River,Mobile,,,No Surveys,Opt-in,Opt-in,Event,1,14,14,1,1.0,50182,17865,7205
Parvati Patel,Bob Brown,Olga Smirnov,no,no,Sven,,Smith,,507782,261579,440182,Appeal2,1689149582,935161155,84529,1738741532,Appeal3,909 Aspenwood Way,Apt 303,Langley,Mobile,,,,Opt-out,Opt-out,Holiday Card,0,12,9,0,0.75,20846,16669,9297
